"type","x","y","z","vx","vy","vz","fx","fy","fz","omegax","omegay","omegaz","radius"
0,0.117815,-1.02883,0.029872,-6.57E-07,1.26E-06,5.20E-07,-9.42E-05,-2.09E-06,-3.75E-05,-1.92E-05,-1.56E-05,-2.44E-05,0.03
0,0.246301,-1.02769,0.0297875,-2.45E-07,-1.63E-06,1.54E-06,6.48E-05,-8.60E-05,4.59E-05,4.46E-05,-3.43E-06,-3.47E-05,0.03
0,0.391848,-1.03259,0.0298982,-7.78E-07,-2.85E-06,1.31E-06,3.88E-05,-3.01E-05,1.39E-05,4.71E-05,-7.37E-07,-2.12E-05,0.03
0,0.455781,-1.02564,0.0299228,-4.95E-07,-3.10E-06,-3.90E-07,5.88E-05,0.00013422,-5.12E-06,4.83E-05,5.31E-06,-1.13E-05,0.03
0,0.752863,-1.0285,0.0299546,3.64E-07,-4.51E-07,-4.90E-07,4.38E-07,-1.48E-05,3.32E-05,5.73E-06,8.18E-06,-3.88E-06,0.03
0,0.813061,-1.02991,0.0298871,-2.17E-08,-5.94E-07,-5.27E-08,0.000168098,2.46E-05,3.48E-05,1.36E-05,-2.42E-06,2.93E-05,0.03
0,0.914743,-1.01527,0.0299058,-2.17E-06,-5.35E-08,4.88E-08,0.000371718,0.000143953,3.13E-05,8.62E-07,-3.78E-05,0.000133479,0.03
0,-1.08468,-0.991458,0.0299501,-9.31E-08,1.23E-07,1.99E-08,1.93E-06,1.12E-05,4.95E-06,-1.91E-06,-1.94E-06,-7.96E-06,0.03
0,0.539169,-0.992287,0.0298936,-6.51E-08,-3.67E-06,-9.37E-07,9.04E-05,0.000137924,-1.38E-05,5.62E-05,-3.49E-06,3.75E-05,0.03
0,0.599103,-0.993149,0.0299107,9.87E-08,-2.48E-06,-8.61E-07,0.00013531,-1.44E-05,1.99E-05,4.67E-05,1.62E-07,2.32E-06,0.03
0,0.686076,-0.995949,0.0298633,5.01E-07,-7.94E-07,-2.33E-07,0.000138494,-9.99E-06,-1.55E-05,1.48E-05,1.10E-05,-1.13E-05,0.03
0,0.858724,-0.99104,0.0299302,-6.37E-07,8.39E-07,8.40E-07,0.000151489,5.63E-05,-3.94E-05,-5.94E-06,-1.56E-05,2.38E-05,0.03
0,-0.894238,-0.969483,0.0298763,3.69E-06,4.95E-07,2.92E-06,-7.21E-05,-6.01E-06,-7.61E-05,9.13E-06,6.47E-05,-7.50E-05,0.03
0,-0.69048,-0.956611,0.0298805,1.19E-05,-2.96E-06,-3.50E-06,-0.000733914,0.000405102,0.000172471,6.83E-05,0.000188215,-2.12E-05,0.03
0,-0.630987,-0.968276,0.0298121,5.73E-06,-4.08E-06,1.97E-06,-0.000282571,0.000341809,-6.57E-05,6.76E-05,9.99E-05,-9.56E-05,0.03
0,-0.571034,-0.960592,0.0298247,5.69E-06,-2.07E-08,1.74E-06,-0.000176765,6.52E-05,9.99E-05,1.83E-05,0.000103628,3.19E-05,0.03
0,-0.417804,-0.97461,0.0297877,4.61E-06,3.06E-06,-1.14E-06,-0.000140292,-7.41E-05,0.000578201,-6.82E-05,7.17E-05,1.32E-05,0.03
0,-0.324651,-0.972117,0.0297425,4.00E-06,-2.52E-06,3.12E-06,-0.000141516,-4.06E-05,0.000512879,2.07E-05,2.73E-05,-6.69E-05,0.03
0,-0.165072,-0.964089,0.0452222,2.15E-06,-2.90E-06,4.52E-07,-5.61E-05,0.000661016,0.000423686,5.13E-05,2.00E-05,-7.48E-06,0.03
0,0.0711637,-0.974109,0.0299169,3.30E-06,5.18E-06,-6.91E-07,9.77E-05,0.000276855,-6.03E-05,-7.41E-05,4.34E-05,-8.37E-06,0.03
0,0.194473,-0.973888,0.0298699,1.87E-06,-1.10E-06,7.20E-07,0.000163179,-0.00010741,1.01E-05,-2.92E-05,-4.39E-06,-9.36E-05,0.03
0,0.394859,-0.96398,0.0298538,4.14E-07,-3.73E-06,1.38E-06,0.000123535,6.51E-05,-7.49E-05,5.88E-05,8.31E-06,-7.06E-06,0.03
0,0.649919,-0.947746,0.0298025,6.28E-07,-1.75E-06,-4.90E-07,0.000104747,3.07E-05,1.69E-05,4.15E-05,9.37E-06,4.45E-05,0.03
0,0.770819,-0.971307,0.0298786,1.42E-07,-8.32E-07,-4.97E-07,0.000195224,-3.43E-05,-6.23E-06,1.68E-05,4.90E-06,1.01E-05,0.03
0,0.988843,-0.949409,0.0299384,-3.80E-07,2.26E-07,2.31E-07,1.42E-05,3.54E-05,-8.89E-06,-3.87E-06,-4.21E-06,-7.01E-06,0.03
0,-0.847324,-0.930799,0.0298476,4.57E-06,-9.94E-07,6.29E-06,-6.62E-05,0.00020186,-0.000249945,-8.27E-06,6.61E-05,-2.96E-05,0.03
0,-0.788783,-0.943878,0.0299413,6.38E-06,-1.22E-06,2.33E-06,-0.000355794,0.000107455,-0.000106716,1.85E-05,9.94E-05,-2.58E-06,0.03
0,-0.487072,-0.917762,0.0297941,5.04E-06,1.57E-07,-1.48E-06,7.18E-05,-7.31E-06,0.000328048,-1.76E-05,9.05E-05,6.56E-05,0.03
0,-0.369969,-0.932992,0.0297844,5.32E-06,2.65E-07,1.17E-07,-7.09E-05,4.51E-05,0.000506059,-3.83E-05,3.23E-05,-2.22E-05,0.03
0,-0.288371,-0.923743,0.0297083,5.11E-06,-2.40E-06,6.46E-08,4.84E-05,0.000496635,0.000500126,2.04E-05,7.30E-05,-6.06E-05,0.03
0,0.176668,-0.916656,0.0298668,9.36E-06,-1.75E-06,-4.33E-06,0.000618595,-0.000154255,-0.000287613,-5.54E-06,0.000135109,-0.000108183,0.03
